sample_id	isic_id	mask_filename	mask_path	status	match_method	image_filename	image_path	num_image_matches	diagnosis	annotator	source
ab022908rol323_CNP		ab022908rol323_CNP.tiff	data/masks/ab022908rol323_CNP.tiff	multiple_images	normalized_old_id	ab022908rol323_CNP.JPG | ab022908rol323_CP.JPG | ab022908rol323_NCP.JPG	data\imgs\ab022908rol323_CNP.JPG | data\imgs\ab022908rol323_CP.JPG | data\imgs\ab022908rol323_NCP.JPG	3			existing_dataset
ab022908rol323_CP		ab022908rol323_CP.tiff	data/masks/ab022908rol323_CP.tiff	multiple_images	normalized_old_id	ab022908rol323_CNP.JPG | ab022908rol323_CP.JPG | ab022908rol323_NCP.JPG	data\imgs\ab022908rol323_CNP.JPG | data\imgs\ab022908rol323_CP.JPG | data\imgs\ab022908rol323_NCP.JPG	3			existing_dataset
ab022908rol323_NCP		ab022908rol323_NCP.tiff	data/masks/ab022908rol323_NCP.tiff	multiple_images	normalized_old_id	ab022908rol323_CNP.JPG | ab022908rol323_CP.JPG | ab022908rol323_NCP.JPG	data\imgs\ab022908rol323_CNP.JPG | data\imgs\ab022908rol323_CP.JPG | data\imgs\ab022908rol323_NCP.JPG	3			existing_dataset
ab030209rol586_CNP		ab030209rol586_CNP.tiff	data/masks/ab030209rol586_CNP.tiff	multiple_images	normalized_old_id	ab030209rol586_CNP.JPG | ab030209rol586_CP.JPG | ab030209rol586_NCP.JPG	data\imgs\ab030209rol586_CNP.JPG | data\imgs\ab030209rol586_CP.JPG | data\imgs\ab030209rol586_NCP.JPG	3			existing_dataset
ab030209rol586_CP		ab030209rol586_CP.tiff	data/masks/ab030209rol586_CP.tiff	multiple_images	normalized_old_id	ab030209rol586_CNP.JPG | ab030209rol586_CP.JPG | ab030209rol586_NCP.JPG	data\imgs\ab030209rol586_CNP.JPG | data\imgs\ab030209rol586_CP.JPG | data\imgs\ab030209rol586_NCP.JPG	3			existing_dataset
ab030209rol586_NCP		ab030209rol586_NCP.tiff	data/masks/ab030209rol586_NCP.tiff	multiple_images	normalized_old_id	ab030209rol586_CNP.JPG | ab030209rol586_CP.JPG | ab030209rol586_NCP.JPG	data\imgs\ab030209rol586_CNP.JPG | data\imgs\ab030209rol586_CP.JPG | data\imgs\ab030209rol586_NCP.JPG	3			existing_dataset
ab06120rol635_CNP		ab06120rol635_CNP.tiff	data/masks/ab06120rol635_CNP.tiff	multiple_images	normalized_old_id	ab06120rol635_CNP.JPG | ab06120rol635_CP.JPG | ab06120rol635_NCP.JPG	data\imgs\ab06120rol635_CNP.JPG | data\imgs\ab06120rol635_CP.JPG | data\imgs\ab06120rol635_NCP.JPG	3			existing_dataset
ab06120rol635_CP		ab06120rol635_CP.tiff	data/masks/ab06120rol635_CP.tiff	multiple_images	normalized_old_id	ab06120rol635_CNP.JPG | ab06120rol635_CP.JPG | ab06120rol635_NCP.JPG	data\imgs\ab06120rol635_CNP.JPG | data\imgs\ab06120rol635_CP.JPG | data\imgs\ab06120rol635_NCP.JPG	3			existing_dataset
ab06120rol635_NCP		ab06120rol635_NCP.tiff	data/masks/ab06120rol635_NCP.tiff	multiple_images	normalized_old_id	ab06120rol635_CNP.JPG | ab06120rol635_CP.JPG | ab06120rol635_NCP.JPG	data\imgs\ab06120rol635_CNP.JPG | data\imgs\ab06120rol635_CP.JPG | data\imgs\ab06120rol635_NCP.JPG	3			existing_dataset
ag021607rab36_CP		ag021607rab36_CP.tiff	data/masks/ag021607rab36_CP.tiff	multiple_images	normalized_old_id	ag021607rab36_CP.jpg | ag021607rab36_NCP.jpg	data\imgs\ag021607rab36_CP.jpg | data\imgs\ag021607rab36_NCP.jpg	2			existing_dataset
